item_id,weight,height,length,width
163755,0.7357445,8.245819,32.171803,24.382986
1339648,1.0734977,14.559915,35.124863,25.51726
21095,0.9981039,11.782203,32.374664,24.256681
925424,0.48307198,0.91926354,40.453663,30.409187
780125,3.4201334,21.950079,40.337536,32.10758
4811,0.35450736,9.9907055,18.979866,15.284183
935638,0.6524001,7.2145476,36.857635,28.701052
962348,2.9203527,24.514004,39.0073,31.974203
753924,1.1681081,14.175184,36.245407,25.54677
1260562,0.7577615,7.4306335,34.399147,25.577196
554014,1.3826694,9.047303,61.367046,39.27792
966476,0.95009625,11.997161,27.531971,20.09474
691694,1.1108016,15.850218,35.638977,27.907696
1675185,0.5547541,10.629312,30.775333,20.321596
1383564,0.8640072,8.3441515,37.800484,20.080765
670663,0.95642793,9.154135,30.256287,22.186817
1806034,0.8599594,15.139655,33.494675,25.717941
416428,1.0969347,11.256928,29.186077,22.173853
680280,0.7090921,7.1277695,36.184082,28.177109
264550,0.9688908,11.801124,33.24584,23.881079
1307723,3.2044938,13.508972,32.93403,22.951786
927696,0.28500736,9.121172,21.078953,16.64191
1318552,8.33712,33.770218,51.905582,39.39483
1444159,0.62760174,5.903742,35.05973,26.929298
1485165,0.757745,11.280978,34.06978,21.735243
929929,2.7385955,15.156683,40.98485,31.669954
379141,0.660417,1.6751275,38.489178,29.37448
1852938,5.0123982,24.56331,43.031445,34.81823
1401249,1.467605,13.610151,31.488628,21.023037
84215,1.1857947,13.843955,36.793785,29.08542
1621053,0.81622165,14.887757,33.530647,25.495764
2025503,2.6436946,14.120646,28.669725,20.894358
317878,0.53246206,4.5841618,29.312063,21.632528
1752913,0.7649537,9.922508,26.032228,19.745413
217975,0.742655,8.141354,32.49148,25.092405
173709,0.66255885,11.191201,33.09835,22.216269
825756,0.37786654,0.96463764,40.47113,30.292997
2007143,0.74879044,12.119067,33.58925,25.338987
954103,0.9158655,13.149152,33.34297,22.82591
1428489,6.8201604,27.430548,57.319996,40.852802
112056,1.8284692,17.176796,42.395725,28.319685
1908286,0.80896074,9.463396,32.2279,23.0531
1805942,1.103412,12.546514,32.953537,24.59205
36763,0.5043736,5.142479,28.10857,20.375458
83758,1.0943437,12.472802,29.508656,20.935123
416578,0.4754408,3.8820798,27.505558,20.115866
537329,0.40262932,9.730619,20.372911,15.669619
242063,0.742425,9.54886,33.0968,22.710798
136976,0.48413917,10.19115,28.083035,19.820599
2060318,1.4865634,12.798443,34.250683,26.596445
610020,3.127362,13.06446,52.25695,35.683678
1899811,0.33492666,9.271375,19.308298,14.061174
160671,0.7907108,9.692232,35.083626,27.212158
1894171,0.6767449,8.349307,31.051514,23.388758
1043881,0.42153212,9.792838,21.195053,16.001875
124540,0.62001044,10.8718195,31.190954,20.904789
1950330,0.84598607,13.427072,33.408386,24.86878
1981803,1.0552689,12.199723,33.556347,24.249056
1792253,0.7491814,14.552973,29.6038,21.917555
1831049,0.80653614,11.458875,31.375462,23.223722
1397038,2.6975982,15.395766,48.402336,35.487133
953657,0.7938821,9.652829,31.514452,22.809425
2029440,0.76285803,9.596118,20.44355,15.458998
1869315,2.2696216,19.911476,40.955193,32.104134
283154,0.6996909,10.662208,30.183748,21.440577
2029953,2.6107712,12.113494,31.542183,21.895887
1389647,0.4669264,7.8443413,29.933613,22.579754
1248969,4.424492,20.799334,57.386593,42.74965
311182,2.6943054,11.078137,49.483368,20.817118
429485,0.5348353,5.520878,33.933235,25.523808
947258,0.98164153,12.780017,34.967163,24.447287
116069,0.6732921,10.666205,31.869083,20.818163
1798591,1.278308,11.970798,35.38672,27.32693
1466750,0.55684453,4.802389,27.523077,20.329132
451743,0.77245533,11.834565,36.613297,28.538614
106829,1.2562205,11.927529,33.582096,27.189035
849618,2.956177,17.560518,52.610382,37.54889
1417477,0.61061066,10.48478,27.054592,19.905037
571801,0.33837265,1.162121,37.691814,28.198544
943002,0.70731616,11.083386,27.970291,19.600828
1228377,0.69629097,9.953451,34.848038,27.244574
929899,0.79557914,11.385593,27.574425,20.311617
1012,2.5789819,13.261298,37.213783,24.387732
468864,0.99956757,11.089471,27.502138,21.01275
767824,1.3321277,18.440699,38.181767,29.50712
1521810,0.8753845,14.907813,36.154743,25.834839
2103770,1.3661597,18.344017,38.96113,28.071281
1413923,1.1796254,15.581202,37.65457,25.069433
41426,1.9209951,14.2364855,33.938347,24.186563
1948143,0.6489964,8.798304,27.919594,21.094294
1869088,7.8911624,24.486198,63.726948,43.543797
664864,1.4555911,13.41272,31.763596,22.101162
1263292,0.7277641,10.704694,34.43091,21.323767
510768,0.6771853,4.710656,30.500717,22.64353
239922,0.6229008,10.703575,29.866974,19.751158
798643,0.62909263,11.639701,43.27733,25.559853
1350815,1.278995,11.668089,35.710953,24.714678
1793800,0.60860014,10.256413,21.136402,16.568012
889215,0.39067823,9.886027,21.143183,16.121803
1887648,1.442958,11.820025,70.46803,30.575932
576510,0.88963294,13.493813,39.26615,30.123446
1393335,0.7864947,11.309733,34.46899,21.717552
370063,4.1882653,22.843037,41.191933,33.83096
